,AAPL,ADBE,AMZN,BAC,DIS,FB,GOOGL,HD,JNJ,JPM,MA,MSFT,NVDA,PG,PYPL,TSLA,UNH,V,VZ,WMT
AAPL,0.08869188273787915,0.05755391692100304,0.05026249085574553,0.04969559356544857,0.03682039597108183,0.05289162648583294,0.049555915847441116,0.04059948501049694,0.02449911092771873,0.04371119487420687,0.05409191810476874,0.05697586851897742,0.07579593280191271,0.02460390370950061,0.057182874891858616,0.06403046244690141,0.040545203310214446,0.04811470770946489,0.01611590128888675,0.0223531233267497
ADBE,0.05755391692100304,0.10231624365859794,0.058741622750742795,0.04823116060756787,0.03659298081850641,0.05984877060815585,0.05708591239143639,0.04439902612689701,0.026345578182839984,0.04272225587336794,0.06088604133476491,0.06740575284231376,0.08400886177369,0.023461810723249345,0.06983900586075127,0.07165815483075406,0.041274859844915426,0.0571707029960581,0.016511154317532584,0.023289177562741136
AMZN,0.05026249085574553,0.0587416227507428,0.09111439106919825,0.03411734681682662,0.027139881325227048,0.058873041068769144,0.05223249304435006,0.031349380371271024,0.019129360094016237,0.028302818794606825,0.044747124293153875,0.05529115354113273,0.06934822891472199,0.017358756070427733,0.05336806689454469,0.06224780975210263,0.030512360138731966,0.03891494883495624,0.011527877085165941,0.01769342294596298
BAC,0.04969559356544857,0.04823116060756787,0.03411734681682662,0.11633519304742303,0.05281616563570499,0.04457921719099775,0.043961035745988294,0.048879720904241544,0.02812218982923208,0.0919301306901952,0.059134684661592364,0.05081627023952544,0.06561409059957554,0.026297341191335578,0.0510033226875207,0.05342684598592394,0.049722768572883665,0.05490508315301712,0.022226629218152497,0.019901042243405397
DIS,0.036820395971081825,0.03659298081850641,0.027139881325227048,0.05281616563570499,0.07011925956272771,0.03381899509115585,0.03416813952846118,0.03733771903703461,0.020095167814564028,0.0476888834392694,0.04471317059340463,0.036938953281086734,0.04556024946767684,0.021605365991300137,0.04066394017991698,0.04258273452531685,0.031649252035874445,0.03985866350328687,0.017662922743201064,0.016462920461972685
FB,0.05289162648583294,0.05984877060815585,0.05887304106876915,0.04457921719099774,0.03381899509115585,0.10454904864632686,0.057329618708698654,0.038318640507577564,0.021304072510046325,0.03836097648144947,0.05315928986602253,0.054691879752639255,0.07052268793715782,0.018820218189453064,0.061937882738704625,0.05921430453846722,0.03531237761222263,0.04712258959229476,0.013569466645272086,0.016168706044160618
GOOGL,0.049555915847441116,0.05708591239143639,0.05223249304435006,0.043961035745988294,0.03416813952846118,0.057329618708698654,0.06884289839169422,0.03721201134016492,0.02305705070220189,0.03877670023117708,0.05041057458023603,0.05556843296332343,0.06723066847280822,0.02130322877555795,0.055393944380749974,0.05511405625837462,0.036781745723112345,0.047013073013979015,0.015314811924397825,0.017653905247486744
HD,0.04059948501049694,0.04439902612689701,0.031349380371271024,0.048879720904241544,0.0373377190370346,0.038318640507577564,0.03721201134016492,0.06573852319686894,0.02252064135159511,0.0450661683117124,0.045340593152053285,0.042968942316815355,0.05797764797728327,0.023419771306242013,0.04580753600902748,0.04947250088836323,0.03881288632858406,0.04271521058923172,0.019687006835467483,0.022957326737521322
JNJ,0.02449911092771873,0.02634557818283998,0.019129360094016237,0.028122189829232078,0.020095167814564028,0.021304072510046325,0.02305705070220189,0.02252064135159511,0.040436993380068065,0.026435170611740996,0.027230293637629768,0.02762284470936361,0.029100131955878936,0.02238983646014295,0.025588409512508892,0.01874944731421015,0.027939747734943184,0.025505396765851687,0.01802408683406671,0.01733368439236582
JPM,0.04371119487420687,0.04272225587336794,0.028302818794606825,0.09193013069019522,0.0476888834392694,0.038360976481449476,0.03877670023117708,0.0450661683117124,0.026435170611740992,0.08880426660968238,0.052843536007722444,0.04508952422176911,0.05434572732532071,0.02443113650827258,0.04461175227901576,0.04517517685889289,0.044635467719402126,0.048763356493622206,0.021564597648451,0.01860202314974225
MA,0.05409191810476874,0.06088604133476491,0.044747124293153875,0.059134684661592364,0.04471317059340463,0.05315928986602253,0.05041057458023603,0.045340593152053285,0.027230293637629768,0.052843536007722444,0.08178301892644273,0.05813701096965203,0.07435442788466219,0.025734976955119827,0.06611112853640602,0.05925798130229128,0.04313311567572035,0.06577401882343674,0.017207166416552955,0.020182204753504223
MSFT,0.05697586851897742,0.06740575284231376,0.05529115354113273,0.05081627023952544,0.036938953281086734,0.054691879752639255,0.05556843296332343,0.042968942316815355,0.02762284470936361,0.04508952422176911,0.05813701096965203,0.07802468436694142,0.07670165044785883,0.02707643622546701,0.06327031763472006,0.06341319849382122,0.04229738120988433,0.053593044384899535,0.020111906782489756,0.02363683393842756
NVDA,0.07579593280191271,0.08400886177369,0.06934822891472199,0.06561409059957554,0.04556024946767684,0.07052268793715782,0.06723066847280822,0.05797764797728327,0.029100131955878936,0.05434572732532071,0.07435442788466219,0.07670165044785882,0.2229558999749963,0.02726465446592291,0.08122703434318036,0.09672264486894738,0.051737036229514616,0.0671461683895587,0.01850164140296587,0.028117560058242175
PG,0.02460390370950061,0.023461810723249345,0.017358756070427733,0.026297341191335578,0.02160536599130014,0.018820218189453064,0.02130322877555795,0.02341977130624201,0.02238983646014295,0.02443113650827258,0.025734976955119827,0.027076436225467005,0.02726465446592291,0.04176793004342163,0.025781805372749083,0.0185461868381738,0.022799478003856528,0.02404527958525146,0.0199436385152469,0.021315377499163457
PYPL,0.05718287489185861,0.06983900586075127,0.05336806689454469,0.0510033226875207,0.04066394017991699,0.061937882738704625,0.055393944380749974,0.04580753600902748,0.025588409512508892,0.04461175227901576,0.06611112853640602,0.06327031763472006,0.08122703434318036,0.025781805372749083,0.11172370588195558,0.0675567095067905,0.04117408580104291,0.05974797310348557,0.01571623895983974,0.02251575554135535
TSLA,0.06403046244690141,0.07165815483075406,0.06224780975210263,0.05342684598592394,0.04258273452531685,0.05921430453846722,0.05511405625837462,0.04947250088836323,0.01874944731421015,0.04517517685889289,0.05925798130229128,0.06341319849382122,0.09672264486894738,0.0185461868381738,0.0675567095067905,0.3231537004950993,0.04015732675215888,0.054966022083581416,0.012173416429989654,0.019852165120256504
UNH,0.040545203310214446,0.041274859844915426,0.030512360138731966,0.049722768572883665,0.031649252035874445,0.03531237761222263,0.036781745723112345,0.03881288632858406,0.027939747734943184,0.044635467719402126,0.04313311567572035,0.04229738120988433,0.05173703622951461,0.022799478003856528,0.04117408580104291,0.04015732675215888,0.08076662306061193,0.0412570241376228,0.019733476856810272,0.02081656678828512
