Date,AAPL,ADBE,AMZN,BAC,DIS,FB,GOOGL,HD,JNJ,JPM,MA,MSFT,NVDA,PG,PYPL,SPY,TSLA,UNH,V,VZ,WMT
2019-11-08,64.47816467285156,292.4599914550781,1785.8800048828125,32.21542739868164,137.1383819580078,190.83999633789062,1309.0,226.02760314941406,128.5890655517578,125.81118774414062,273.41595458984375,143.940185546875,207.28475952148438,116.81486511230469,101.41999816894531,301.7926330566406,67.4280014038086,251.84120178222656,177.57766723632812,56.86292266845703,116.95429229736328
2019-11-11,64.98876953125,290.2699890136719,1771.6500244140625,32.137935638427734,135.92564392089844,189.61000061035156,1298.280029296875,225.0180206298828,127.60289764404297,125.36730194091797,275.5146179199219,144.0880889892578,207.68380737304688,116.45380401611328,102.66999816894531,301.2162780761719,69.01799774169922,249.01870727539062,178.1432342529297,57.11202621459961,116.56261444091797
2019-11-12,64.92926788330078,291.7200012207031,1778.0,32.05076599121094,137.7546844482422,194.47000122070312,1297.2099609375,226.2993927001953,126.99378967285156,124.63394927978516,275.65386962890625,145.03482055664062,209.1103973388672,116.39523315429688,102.02999877929688,301.8511657714844,69.98600006103516,250.15554809570312,178.34170532226562,56.83417892456055,116.64095306396484
2019-11-13,65.55139923095703,293.5400085449219,1753.1099853515625,31.76018524169922,147.83428955078125,193.19000244140625,1296.1800537109375,227.9302520751953,126.91645812988281,123.97776794433594,276.578857421875,145.27149963378906,208.07289123535156,117.74197387695312,102.12000274658203,301.94891357421875,69.22200012207031,248.50906372070312,178.01426696777344,56.92041015625,118.46224975585938
2019-11-14,65.09781646728516,294.5299987792969,1754.5999755859375,31.673015594482422,146.2736358642578,193.14999389648438,1309.1500244140625,229.62905883789062,126.61672973632812,124.09356689453125,278.1305236816406,146.0111083984375,209.28997802734375,117.59558868408203,103.7300033569336,302.3884582519531,69.87000274658203,250.72396850585938,178.6503448486328,56.85334396362305,118.13910675048828
2019-11-15,65.87113952636719,297.5,1739.489990234375,31.895790100097656,143.80841064453125,195.10000610351562,1333.5400390625,230.34739685058594,130.46473693847656,124.990966796875,279.27435302734375,147.89468383789062,203.7033233642578,117.63462829589844,104.19999694824219,304.5766906738281,70.43399810791016,264.0231018066406,178.6702423095703,57.01621627807617,116.39615631103516
2019-11-18,66.2032699584961,297.1600036621094,1752.530029296875,31.92484474182129,146.77066040039062,197.39999389648438,1319.8399658203125,231.86175537109375,130.35838317871094,126.04277801513672,279.3539123535156,148.25958251953125,211.77403259277344,118.95208740234375,103.66000366210938,304.80133056640625,69.99800109863281,267.482666015625,178.56089782714844,56.94915008544922,117.7474365234375
2019-11-19,66.00250244140625,300.6000061035156,1752.7900390625,31.905475616455078,147.49632263183594,199.32000732421875,1312.5899658203125,219.2518310546875,130.34869384765625,126.00416564941406,283.780029296875,148.30886840820312,207.4942626953125,118.493408203125,104.94999694824219,304.7134094238281,71.90399932861328,268.7567138671875,181.65188598632812,57.00663757324219,117.39492797851562
2019-11-20,65.23414611816406,300.1000061035156,1745.530029296875,31.66332244873047,146.05494689941406,197.50999450683594,1301.8599853515625,214.43692016601562,131.43157958984375,125.08747863769531,283.84967041015625,148.0515899658203,210.67665100097656,119.34245300292969,104.08999633789062,303.5802917480469,70.44400024414062,270.0601806640625,180.5486602783203,56.98747634887695,116.65074157714844
2019-11-21,64.94166564941406,298.79998779296875,1734.7099609375,31.80861473083496,146.02511596679688,197.92999267578125,1300.1400146484375,212.14599609375,131.9149932861328,125.376953125,282.9246826171875,147.9130401611328,209.6790313720703,117.43944549560547,102.55000305175781,303.0918273925781,70.96600341796875,271.0303955078125,178.78948974609375,57.11202621459961,117.36554718017578
